id,operation,operand1,operand2,result,timestamp
1,Add,5.0,5.0,10.0,
2,Add,5.0,5.0,10.0,2025-06-20T02:02:18.011041
3,Subtract,5.0,2.0,3.0,2025-06-20T02:02:28.309870
4,Multiply,2.0,2.0,4.0,2025-06-20T02:02:38.073019
5,Multiply,5.0,3.0,15.0,2025-06-20T02:02:57.044642
6,Divide,15.0,3.0,5.0,2025-06-20T02:03:10.458200
7,Add,5.0,5.0,10.0,2025-06-20T02:13:05.687680
8,Add,5.0,6.0,11.0,2025-06-20T23:11:46.145495
9,Subtract,9.0,5.0,4.0,2025-06-20T23:12:00.164345
10,Multiply,15.0,3.0,45.0,2025-06-20T23:12:11.603082
11,Divide,15.0,3.0,5.0,2025-06-20T23:12:31.811615
12,Add,5.0,5.0,10.0,2025-06-20T23:39:32.267254
13,Subtract,5.0,4.0,1.0,2025-06-20T23:39:38.559180
14,Add,50.0,10.0,60.0,2025-06-20T23:41:02.421784
15,Subtract,50.0,10.0,40.0,2025-06-20T23:41:05.518476
16,Multiply,50.0,10.0,500.0,2025-06-20T23:41:08.047849
17,Divide,50.0,10.0,5.0,2025-06-20T23:41:09.394306
18,Add,5.0,5.0,10.0,2025-06-20T23:50:58.212440
19,Add,5.0,5.0,10.0,2025-06-20T23:51:00.001849
20,Add,50.0,10.0,60.0,2025-06-21T01:32:36.092910
21,Subtract,50.0,10.0,40.0,2025-06-21T01:32:38.866223
22,Multiply,50.0,10.0,500.0,2025-06-21T01:32:40.339876
23,Divide,50.0,10.0,5.0,2025-06-21T01:32:42.054151
